"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Solomon Islands,793.112,812.633,782.719,711.88,691.194,611.274,529.419,540.761,598.335,570.057,684.653,701.363,803.081,870.265,1131.066,1280.065,1353.224,1357.49,1148.356,1193.092,991.855,935.937,766.748,756.444,827.751,964.222,1058.645,1185.808,1301.382,1334.47,1492.242,1799.714,1977.725,2090.22,2116.109,2021.371,2080.758,2164.95,2325.003,2278.163,2118.582,2059.05,2077.115,2160.612,2269.22,2385.574,2522.482,2634.932,2723.408,2816.854,2913.529
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,437.51,481.924,514.688,531.556,558.643,606.778,563.115,602.186,583.956,624.408,653.449,683.343,736.999,763.077,797.831,839.015,879.808,920.39,961.776
South Africa,3074.684,3122.686,2806.158,3062.892,2633.905,1955.165,2176.064,2801.31,2954.825,3004.44,3425.585,3587.879,3802.578,3716.193,3786.21,4145.21,3869.7,3937.658,3508.14,3423.595,3382.066,2964.029,2778.115,4191.4,5392.861,6007.979,6250.883,6752.256,6337.933,6538.166,8118.173,8784.648,8185.718,7431.908,6952.314,6222.526,5721.189,6647.093,6956.41,6582.757,5630.983,6923.875,6640.434,6132.74,6364.662,6666.705,6834.501,6958.587,7111.521,7269.652,7433.727
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1659.546,1041.463,1337.232,1332.276,1258.986,180.688,94.554,214.256,302.262,393.589,418.969,516.284,492.963,300.856,313.218,368.831,402.039,409.192,434.743,442.589
Spain,6118.91,5373.904,5163.843,4495.142,4465.003,4687.776,6467.667,8175.112,9584.39,10550.417,13673.271,14675.641,15989.337,13389.752,13399.66,15452.589,16113.303,14770.651,15442.962,15747.58,14714.351,15299.106,16936.981,21334.669,24698.252,26251.002,28177.362,32339.713,35379.801,32158.985,30624.424,31767.697,28511.285,29297.451,29737.831,25986.986,26725.642,28326.416,30526.94,29664.183,27188.392,30792.106,30154.509,33312.918,35151.242,38039.876,40581.506,41888.427,43059.815,44363.981,45765.843
Sri Lanka,333.918,342.812,365.498,389.999,452.288,443.046,470.142,484.746,501.62,498.479,564.868,611.088,651.332,689.023,787.255,829.22,903.331,1003.944,1026.15,1025.7,1065.469,1017.154,1061.683,1162.71,1259.771,1477.595,1698.156,1928.714,2410.801,2472.242,2894.26,3320.074,3446.355,3737.366,3969.713,4057.742,4150.367,4401.055,4360.149,4082.694,3846.175,3999.337,3330.292,3698.382,4324.872,no data,no data,no data,no data,no data,no data
Sudan,486.908,339.389,239.807,318.513,375.019,253.184,328.588,516.781,404.705,696.391,87.197,95.292,113.476,186.506,205.922,239.507,292.909,350.723,366.582,352.442,422.316,492.676,554.652,635.575,772.939,996.677,1249.767,1599.596,1700.513,1401.244,1637.419,2034.461,1396.292,1462.582,1628.497,1679.025,1638.638,1199.177,800.064,728.42,794.606,772.366,717.641,772.168,593.884,711.995,763.085,868.41,928.127,943.814,969.441
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1412.471,1537.047,1405.473,1093.836,1212.382,2272.326,2787.957,2947.257,3492.771,2839.043,2902.478,2466.333,3078.446,3549.926,4034.358,4773.442,5545.702,6123.002,7266.624,7864.591,8734.16,8756.276,9767.349,9936.505,9966.713,9036.203,5762.414,6158.572,6772.07,6715.747,4782.092,4987.986,5784.332,5404.997,6880.559,6843.471,7300.499,7655.171,10155.441,15644.142,16282.464
Sweden,16849.254,15371.213,13558.96,12445.914,12942.914,13511.656,17810.915,21607.827,24337.456,25394.876,30183.887,31434.248,32494.308,24315.749,25940.344,30218.021,33009.39,30318.851,30593.917,30956.351,29596.808,27218.933,29904.665,37219.759,42673.334,43291.313,46363.839,53365.334,55595.816,46496.672,52333.624,60165.275,57528.865,60563.358,59270.209,50918.839,51330.711,52881.379,53728.192,51405.427,52437.634,60435.671,54656.482,54871.777,57020.378,62036.06,66123.903,68319.996,70563.343,72885.715,75310.817
Switzerland,19426.638,17699.844,18027.725,17865.396,17019.366,17187.864,24529.567,30520.621,32794.286,31440.365,39842.782,39811.005,40883.18,39375.507,43226.544,50301.051,48182.728,41638.393,42734.354,41771.59,38984.4,39840.007,42667.758,49514.782,54788.046,56407.381,59239.187,65395.709,74667.752,71914.025,76847.824,90960.228,86303.222,87919.367,89270.791,84221.165,82594.672,82601.752,85559.711,84481.63,86136.21,93967.276,94806.404,101510.452,104681.183,111046.892,118173.258,121685.129,126113.024,129897.06,134597.652
Syria,1421.836,1763.344,1784.577,1849.427,1839.915,1965.139,2284.039,2823.157,1389.823,800.859,967.145,972.175,983.575,995.061,1060.707,1133.162,1186.162,1080.812,1028.169,1043.174,1202.891,1236.897,1305.087,1208.885,1361.499,1510.392,1726.028,2016.052,2557.211,2557.267,2806.685,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,750.984,901.336,848.202,774.936,787.072,810.903,1106.398,1076.237,893.508,863.94,1016.776,891.416,763.368,1000.093,1025.178,794.437,1016.625,678.626,524.02,550.378,532.969,489.364,532.701,621.166,662.541,774.232,804.917,852.193,1081.868,1128.277,1049.472,1228.799,1219.874,1393.305,1499.963,1307.112,1443.396,1571.473,1840.572,1949.978,2187.545,2381.406,2412.104,3013.902,3516.866,4060.877,4590.682,4946.745,5305.994,5696.521,6117.218
Taiwan Province of China,2366.797,2691.494,2675.311,2881.66,3202.615,3293.869,4008.134,5325.173,6338.1,7575.906,8167.2,9081.901,10715.536,11256.711,12099.746,13066.128,13588.306,13948.722,12767.078,13752.716,14844.238,13357.195,13651.355,14040.597,15290.307,16427.459,16892.883,17723.704,18053.591,16904.543,19181.358,20838.589,21256.361,21945.46,22844.316,22752.991,23070.733,25102.094,25888.836,25992.849,28727.743,33238.717,32909.322,32336.502,34059.67,37826.616,41586.253,43637.198,45240.073,46471.325,50251.646
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.622,121.645,147.923,100.448,183.374,192.58,222.282,177.712,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,1040.15,1105.197,919.073,800.645,844.595,852.341,893.318,858.445,925.135,1089.26,1218.739,1393.674,1643.986,1798.69,1859.346,1942.505,2032.245,2139.911
Tanzania,602.924,699.181,778.244,772.741,682.028,596.872,732.197,350.129,324.721,271.496,211.031,237.573,213.148,190.679,195.663,221.366,266.49,307.987,370.188,370.918,380.08,377.469,382.287,401.068,428.911,459.755,491.351,551.847,683.547,700.567,739.903,774.979,867.852,970.271,1030.316,948.688,966.292,1017.437,1001.744,1043.939,1092.613,1137.865,1205.866,1237.196,1214.696,1301.737,1378.331,1469.038,1568.43,1673.02,1781.267
Thailand,705.484,744.913,767.41,824.445,845.08,772.393,840.315,967.712,1160.538,1338.257,1564.175,1769.043,1999.204,2209.362,2491.433,2846.59,3043.982,2468.182,1845.829,2033.26,2007.735,1893.264,2096.189,2359.116,2660.126,2894.06,3369.545,3973.019,4379.659,4213.01,5076.339,5492.115,5860.583,6168.268,5951.877,5840.05,5993.308,6593.816,7298.941,7812.886,7169.943,7236.434,7072.748,7350.89,7493.2,7942.299,7979.199,8248.036,8565.6,8916.526,9290.967
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,513.918,615.254,553.345,539.045,477.056,494.833,471.535,547.838,636.412,694.999,822.84,949.657,1033.53,1216.642,1236.825,1332.516,1348.157,1278.331,1231.39,1577.681,1646.363,2708.106,2356.239,1510.638,1447.684,1507.874,1546.912,1619.692,1694.953,1772.691,1853.897
Togo,660.569,537.709,448.227,412.813,366.586,372.264,505.866,576.189,622.18,592.666,693.269,665.696,678.675,520.255,401.833,507.942,534.847,527.736,485.697,473.995,391.851,378.933,425.081,514.012,535.077,526.925,527.824,607.66,718.87,719.911,705.563,783.851,762.874,826.555,855.805,751.128,772.368,792.486,851.507,826.29,853.547,938.861,895.102,974.262,1023.925,1119.598,1215.196,1273.2,1335.076,1401.031,1471.713
Tonga,770.303,850.554,843.209,818.461,854.275,802.926,959.286,1037.126,1213.22,1461.359,1498.504,1750.858,1832.835,1884.492,1948.137,2123.283,2228.293,2263.661,2153.245,1994.282,2045.81,1818.184,1828.634,2015.247,2288.897,2581.93,2865.259,2919.693,3360.507,3040.244,3561.484,4014.77,4153.205,4420.13,4336.628,4324.605,4181.064,4574.034,4792.272,4917.317,5010.141,5186.338,5153.956,5145.824,5611.366,5921.472,6221.162,6537.14,6805.975,7055.102,7313.284
Trinidad and Tobago,5847.707,6454.418,7393.152,6939.437,6831.216,6411.214,4121.173,4085.591,3798.754,3625.717,4221.813,4392.869,4474.142,3743.583,4027.423,4322.255,4658.874,4632.813,4872.619,5479.934,6545.953,7046.379,7162.514,8931.032,10442.168,12471.953,14280.042,16765.857,21448.701,14777.395,16957.433,19300.833,20186.696,21098.003,21635.015,19587.329,17149.36,17218.004,17184.022,16830.3,14925.795,17218.066,20041.8,17616.478,17948.642,18120.734,18562.439,19206.564,19921.32,20562.426,21022.169
Tunisia,1482.823,1390.414,1309.899,1322.84,1286.6,1271.845,1312.226,1382.408,1411.506,1386.015,1716.723,1769.744,2070.007,1903.681,1997,2261.968,2411.883,2318.983,2407.491,2505.878,2322.277,2365.245,2460.779,2897.197,3265.224,3350.785,3536.507,3963.791,4519.745,4333.153,4343.057,4471.694,4345.815,4419.705,4511.282,4060.695,3890.127,3656.508,3661.194,3556.377,3569.972,3895.114,3676.784,3967.481,4290.426,4751.548,4825.906,4795.58,4850.204,4878.933,4973.193
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,215.402,1203.008,993.041,1255.964,499.244,553.722,583.075,776.281,999.073,1364.051,1693.579,2200.988,2706.586,3239.137,3989.788,4785.367,3918.172,3635.649,4047.233,5181.397,6441.899,7049.798,7685.51,6208.282,6165.055,6354.528,6720.789,7302.894,7272.268,7801.683,8813.475,9639.771,10408.348,10801.102,11387.051,12251.338,13304.471,14456.258,15720.352
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1742.203,2076.475,2386.392,2349.511,2465.078,2866.924,3187.958,2760.059,3134.201,3778.686,3610.431,3616.592,3605.169,3437.386,3867.747,4312.308,4561.426,5237.962,5158.717,5983.042,5123.115,5008.786,5729.351,5830.305,6136.58,6409.033,6678.531,6949.687,7233.283
"Türkiye, Republic of",2149.702,2128.93,1890.724,1766.494,1680.988,1848.957,1997.936,2277.63,2350.74,2728.223,3766.222,3719.08,3847.435,4293.634,3049.437,3909.992,4129.999,4253.615,4445.653,4013.312,4256.64,3115.14,3616.114,4750.989,6040.164,7405.476,8007.819,9790.887,11089.025,9108.034,10705.548,11361.902,11738.279,12639.299,12222.238,11099.8,10978.312,10756.742,9917.054,9387.652,8758.704,9836.039,10881.992,13516.335,15882.446,18197.575,18232.019,18891.677,20176.338,21295.925,22291.302
Uganda,664.574,1044.13,703.042,779.82,581.032,514.181,494.509,768.935,767.651,599.952,472.193,238.48,216.036,247.107,346.255,401.893,401.413,423.918,402.455,370.515,355.466,347.812,361.953,361.772,430.758,483.032,527.739,634.361,784.496,815.808,808.713,872.039,950.574,964.833,1008.018,848.69,826.912,838.495,879.024,951.591,919.121,1008.19,1079.1,1149.942,1206.092,1353.414,1457.696,1532.49,1608.663,1724.974,1861.266
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,427.863,677.261,740.97,752.339,914.348,1037.893,874.265,664.99,664.376,784.864,885.315,1055.946,1374.656,1839.515,2319.286,3101.388,3944.724,2557.279,2982.814,3587.405,3874.152,4051.42,3119.576,2134.773,2200.851,2654.483,3118.001,3687.839,3780.075,4874.309,4693.831,5326.189,5718.991,6381.676,6717.821,7014.455,7488.5,7987.538,8511.506
United Arab Emirates,41311.881,42237.276,36927.264,32717.479,29957.847,27912.523,21198.712,22345.786,19032.876,21142.453,27484.598,25577.028,25833.806,25033.005,25737.492,26309.298,29821.12,29909.645,26571.562,27833.669,32495.862,30877.714,30969.024,32166.941,34944.807,39389.226,45239.607,46090.439,48548.6,37428.383,44180.166,50925.197,52099.412,52204.086,51369.621,43712.262,41800.681,43304.547,46974.083,45615.088,38448.752,42839.579,49704.159,48941.279,50216.313,51347.902,53841.581,56860.788,60066.911,63385.172,66671.688
United Kingdom,10734.896,10439.364,9936.331,9463.11,8951.397,9498.885,11555.907,14331.774,17388.88,17653.75,20913.04,21738.274,22394.494,20015.28,21460.02,23171.12,24432.614,26772.972,28283.064,28768.448,28337.638,27916.906,30127.493,34480.168,40410.653,42143.874,44589.681,50419.848,47884.16,38892.333,39641.869,42106.64,42501.709,43469.644,47468.211,44978.619,41114.514,40617.562,43275.096,42712.614,40230.545,46908.348,46236.523,49382.815,52648.187,56660.868,60011.092,62683.469,65629.591,68886.031,72339.733
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53363.904,55263.817,57006.926,58179.697,60292.978,63165.278,65561.32,64518.063,71365.337,77944.095,82523.258,86144.797,89598.86,92883.466,95960.741,99125.655,102275.842,105498.573
Uruguay,4157.553,4608.557,3743.307,2041.642,1929.09,1873.063,2312.365,2876.92,2958.929,3101.177,3588.34,4299.367,4911.064,5683.683,6557.811,7207.021,7612.913,7959.731,8364.608,7847.88,7432.339,6803.597,4441.095,3941.678,4476.943,5663.499,6377.451,7622.824,9857.304,10232.122,12943.943,15341.308,16320.248,18261.568,18090.949,16765.141,16516.639,18608.283,18656.026,17740.464,15256.943,17313.533,20162.782,22307.721,23186.39,24379.608,26041.371,27235.03,28677.841,30132.651,31686.039
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,209.573,315.613,366.873,561.752,754.528,772.325,773.322,868.991,702.209,587.633,481.995,499.329,585.221,689.391,811.157,1048.715,1324.54,1523.417,1777.487,2067.524,2284.525,2440.258,2651.384,2761.29,2712.808,2170.054,1797.362,2023.534,1959.678,2237.92,2555.187,2848.97,3113.335,3646.604,4135.834,4530.221,4917.49,5318.714,5755.939
Vanuatu,1053.849,956.137,930.89,931.689,1111.403,976.747,918.675,989.126,1092.048,1054.904,1141.043,1333.385,1357.696,1277.011,1422.849,1479.565,1511.705,1537.62,1441.112,1435.664,1422.228,1317.091,1313.463,1542.059,1743.287,1824.505,1985.275,2308.554,2540.715,2519.625,2719.254,3007.564,2934.853,2940.193,2953.301,2880.948,2929.483,3158.835,3100.121,3187.38,3341.002,2951.692,3206.288,3371.239,3156.514,3132.9,3184.842,3232.996,3269.418,3306.25,3343.497
Venezuela,4671.078,5085.58,5041.589,4883.234,3447.45,3472.186,3488.564,2619.24,3292.792,2378.158,2492.939,2685.293,2968.496,2876.077,2741.979,3559.77,3174.631,3778.537,3970.433,4133.37,4820.646,4963.916,3778.255,3266.095,4311.999,5421.656,6646.803,8538.102,11079.069,9557.55,11158.18,10934.275,12688.11,8692.955,7107.443,4096.971,3676.384,3806.656,3529.72,2624.793,1532.618,2052.286,3306.912,3828.543,4510.446,3102.938,2972.274,no data,no data,no data,no data
Vietnam,652.593,318.521,414.347,612.565,1044.409,318.956,705.99,856.91,464.581,123.364,121.715,141.111,178.973,234.983,285.953,358.661,419.063,449.338,448.119,465.248,498.579,513.197,546.555,610.357,756.981,873.136,996.255,1152.267,1446.562,1481.442,1628.013,1949.826,2197.619,2369.973,2566.854,2581.907,2720.168,2957.899,3216.254,3439.102,3548.892,3756.885,4132.93,4316.74,4535.756,4744.725,4964.756,5261.924,5599.704,5951.69,6324.424
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1227.237,1322.057,1296.081,1350.947,1416.578,1441.889,1412.75,1275.685,1102.5,1197.161,1350.906,1461.093,1480.704,1563.701,1913.316,2061.558,2406.261,2711.917,2888.598,3122.985,3158.599,3084.132,3325.846,3407.307,3353.225,3442.754,3044.744,3464.383,3579.222,3254.867,2442.539,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,910.422,1016.302,1198.13,1396.615,1735.044,764.415,375.215,382.585,342.739,401.448,493.235,487.141,513.241,548.906,627.632,734.16,809.713,890.306,1071.636,969.244,1155.203,1186.475,1245.051,1378.75,1430.164,1362.174,975.359,811.166,633.887,623.376,559.565,522.174,615.702,492.813,470.656,415.379,401.279,424.118,478.936,508.8,540.791
Zambia,764.919,764.864,715.135,598.533,477.314,439.344,293.871,353.589,578.18,597.885,542.462,475.448,452.218,431.614,431.567,437.482,404.235,471.141,377.518,353.893,364.026,379.713,399.099,452.287,556.05,720.204,1066.02,1133.672,1393.78,1151.193,1469.239,1644.13,1729.58,1840.665,1724.805,1307.536,1250.324,1495.751,1475.2,1268.125,958.265,1134.713,1456.901,1340.705,1245.619,1352.989,1523.148,1735.546,1861.966,1946.674,2043.565
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1531.501,1383.349,1106.147,1037.869,1054.997,1059.518,1255.711,1302.026,1520.668,1483.187,1432.936,1424.45,1363.572,1215.221,1192.209,1129.761,1001.585,955.303,817.625,1167.762,1399.072,1615.963,1850.752,1992.307,2050.283,1998.001,2035.744,2114.667,3602.04,2605.119,2564.733,3295.669,2992.861,2669.191,2892.71,3070.883,3126.853,3173.63,3216.312,3258.072,3302.543
Africa (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1154.356,1038.203,1000.475,974.592,944.577,1116.046,1230.022,1249.253,1243.766,945.424,948.418,900.639,906.841,1059.982,1240.432,1425.257,1616.179,1836.49,2102.253,1946.381,2222.78,2418.332,2519.78,2561.754,2606.266,2303.649,2111.546,2062.857,2158.003,2186.242,2036.594,2206.817,2320.932,2146.833,1998.737,2075.012,2189.94,2279.674,2371.593,2482.944,2599.137
Asia and Pacific,972.811,1021.431,974.997,1017.685,1060.082,1060.466,1323.108,1541.133,1804.906,1843.173,1886.72,2046.766,2161.899,2396.187,2557.118,2863.103,2754.378,2611.985,2299.733,2520.293,2665.694,2456.494,2477.645,2732.718,3046.855,3258.39,3451.573,3904.888,4375.515,4447.742,5140.214,5856.042,6153.635,6187.67,6350.886,6242.573,6437.907,6836.36,7280.69,7388.718,7353.06,8388.352,8331.205,8426.486,8640.828,9075.075,9587.033,10134.821,10738.283,11332.127,11983.245
Australia and New Zealand,10355.988,11665.061,11405.116,10821.768,11621.61,10287.059,10762.475,12697.195,15815.067,17363.996,17975.28,17623.054,17046.876,16630.638,18884.138,20255.102,22378.719,22216.817,19462.117,20691.482,19755.714,18529.574,20698.089,26139.903,31504.167,34758.844,35996.905,42981.492,46320.178,42904.815,52792.938,62533.048,63847.154,61532.045,58850.908,49317.933,49781.717,53591.816,54145.109,52374.837,51246.292,61754.386,62739.137,62080.939,62828.08,63279.351,66598.664,68749.828,71078.955,73400.177,75959.022
Caribbean,1546.014,1657.955,1811.416,1779.74,1760.072,1771.215,1661.723,1541.538,1539.443,1625.192,1746.083,1714.481,1673.183,1703.201,1901.614,2273.82,2422.364,2581.809,2740.968,2880.957,2988.778,2977.04,3051.951,3116.946,3415.562,3821.673,4122.11,4606.096,5128.792,4459.104,4719.639,5054.742,5255.168,5340.207,5392.164,5249.803,4905.344,5053.529,5210.625,5134.066,4461.074,5282.283,6137.02,6286.571,7119.091,7511.019,7746.034,8097.32,8480.887,8920.446,9127.37
Central America,1308.438,1266.731,1246.719,1270.45,1462.179,1225.785,1112.208,1155.308,1134.569,1241.039,1152.329,1302.421,1447.248,1560.358,1588.217,1730.685,1812.111,1935.558,2053.89,2040.749,2125.249,2201.329,2279.865,2195.799,2309.026,2721.853,2938.08,3293.418,3652.261,3594.985,3940.583,4359.696,4624.939,4836.988,5087.668,5374.745,5597.915,5835.366,5994.893,6156.006,5612.762,6345.445,7065.744,7741.487,8129.56,8482.705,8899.762,9384.523,9899.947,10437.439,11015.634
Central Asia and the Caucasus,2149.702,2128.93,1890.724,1766.494,1680.988,1848.957,1997.936,2277.63,2350.74,2728.223,3766.222,no data,1910.875,2211.278,1647.86,2152.922,2330.879,2422.189,2525.397,2300.787,2421.965,no data,1909.923,2436.397,3089.978,3806.408,4288.185,5328.394,6170.959,5190.936,6131.931,6782.842,7084.848,7624.804,7389.834,6533.359,6115.765,6097.945,5785.996,5627.683,5241.497,5855.077,6612,7830.854,8890.249,12147.915,12384.553,12944.826,13781.537,14555.373,15281.525
East Asia,1348.299,1430.608,1340.137,1442.679,1509.931,1558.97,2107.05,2509.341,3019.495,3067.483,3080.686,3459.218,3778.724,4281.084,4605.258,5167.636,4824.573,4540.074,4121.449,4598.082,4950.196,4562.825,4556.052,4940.685,5447.123,5731.288,5959.752,6558.048,7476.278,7808.612,8878.524,10197.049,10864.724,10915.812,11330.968,11376.562,11782.593,12459.066,13575.008,13825.847,14122.458,16214.711,15722.052,15724.331,15986.601,16645.331,17690.977,18776.062,19931.755,21031.219,22260.277
Eastern Europe ,2067.079,2178.843,2336.342,2344.994,2244.986,2210.639,2271.494,2313.053,2731.665,no data,no data,no data,945.083,1441.427,1908.934,2362.582,2698.062,2775.335,2434.055,2108.49,2300.396,2617.048,2974.916,3647.14,4664.14,5727.689,6970.08,9037.083,11329.232,8873.016,10063.727,11935.765,12114.521,12679.895,11942.829,9005.104,8837.859,10329.389,11304.531,11631.468,10991.752,13164.628,15015.431,15486.579,16610.31,19024.416,19788.044,20618.681,21570.003,22589.87,23660.575
Europe,8966.251,8037.538,7760.072,7541.367,7232.633,7468.207,10026.099,12287.659,13716.38,no data,no data,no data,13205.791,12134.484,13042.344,14788.725,15133.682,14339.415,14590.578,14339.848,13485.653,13716.934,14991.8,18190.802,21110.357,22344.205,24120.741,28063.441,30805.461,27029.241,27436.62,30171.086,28820.302,29992.495,30416.767,26061.792,26001.595,27629.172,29761.952,29353.538,28408.637,32651.95,32980.314,35081.201,36743.604,40055.904,42422.194,43911.227,45533.48,47243.696,49022.025
Middle East (Region),5615.059,5957.275,5700.953,5692.168,5438.838,5316.839,5307.593,6276.358,6513.664,7247.486,8947.637,5933.158,3367.274,3610.658,3867.553,4291.239,4881.573,5155.212,5036.727,5795.276,7039.232,6534.199,4882.578,4695.357,5475.303,6515.226,7480.134,8685.888,10541.74,9157.107,10641.298,13815.14,13227.613,13410.168,13410.506,11399.388,11058.871,11679.497,12076.71,11592.636,9786.115,12011.739,14421.397,13827.106,13865.237,13792.417,14277.119,14854.623,15433.264,15971.052,16519.212
North Africa,1623.809,1513.39,1524.124,1551.099,1562.927,1685.62,1698.076,1905.792,1949.168,2137.763,2137.96,1592.622,1588.413,1551.637,1513.237,1632.108,1776.133,1789.117,1808.345,1878.928,1945.905,1874.946,1705.649,1870.714,2080.83,2350.728,2673.079,3067.985,3715.867,3462.616,3853.96,4036.832,4512.816,4451.252,4444.252,4109.538,4008.74,3502.914,3648.273,3827.942,3810.207,4130.524,4499.534,4247.84,4341.692,4320.771,4560.776,4764.787,5002.869,5256.187,5479.816
North America,10483.357,11723.778,11755.483,12435.646,13622.922,14408.215,14767.222,15578.156,16792.784,18005.159,18860.365,19327.753,20128.597,20967.889,21869.302,22120.169,23135.775,24398.054,25346.849,26732.824,28355.438,28964.359,29560.154,30700.311,32582.137,34695.188,36652.363,38241.552,38807.245,36909.334,38665.352,40145.213,41313.343,42475.975,43629.695,43876.868,44315.642,46045.654,48129.984,49732.212,48445.091,54033.219,58909.381,62390.098,64881.036,67118.06,69771.17,72138.035,74534.303,76935.159,79434.253
Pacific Islands ,1417.746,1374.477,1282.722,1232.736,1162.073,1061.435,1134.678,1198.82,1485.684,1419.272,1320.28,1468.936,1581.204,1724.25,1868.455,1713.474,1788.731,1692.785,1308.662,1253.738,1192.45,1065.311,1045.497,1262.938,1427.847,1602.78,1733.157,1916.917,2192.591,2049.291,2317.874,2703.062,2976.122,2893.003,2996.826,2723.087,2560.184,2677.239,2708.652,2633.237,2373.339,2427.162,2831.465,2771.531,2819.593,2885.738,2922.222,2984.623,3035.837,3087.044,3147.471
South America,2452.84,2407.939,1995.05,1831.089,1756.975,1901,2105.353,2191.411,2396.113,2576.589,2789.427,2812.798,2955.83,3137.208,3671.816,4518.571,4741.243,4963.911,4826.246,3837.298,3982.988,3611.44,2805.825,2987.245,3566.572,4503.215,5416.018,6664.449,8014.668,7641.202,9702.164,11246.283,11258.064,11105.482,10712.061,8654.756,8331.873,9360.046,8773.148,8282.665,6742.634,7790.201,8960.654,9747.788,9860.974,10190.589,10344.376,10842.428,11353.682,11906.979,12490.002
South Asia,292.514,303.582,307.169,315.612,310.04,326.75,336.682,363.731,381.26,379.582,397.639,354.549,368.015,357.913,394.705,430.411,455.231,466.595,463.43,479.948,481.434,482.871,498.393,570.4,648.992,726.665,813.244,1004.941,1007.762,1082.665,1296.979,1406.421,1406.102,1424.985,1539.892,1591.74,1707.882,1923.916,1957.051,2002.581,1890.091,2190.133,2297.461,2408.944,2553.439,2674.309,2873.878,3106.721,3374.491,3670.408,3994.706
Southeast Asia,776.974,767.274,799.039,803.125,893.281,747.622,759.634,804.425,821.395,855.178,950.321,1047.999,1169.796,1289.418,1449.287,1658.183,1808.251,1687.79,1027.061,1188.405,1251.01,1190.461,1310.106,1455.43,1624.324,1788.585,2114.895,2492.253,2864.755,2798.875,3417.327,3924.098,4113.428,4201.116,4193.359,4021.219,4174.78,4458.655,4725.645,4961.28,4666.433,5074.692,5464.662,5577.959,5752.415,6012.849,6323.746,6674.122,7065.983,7486.382,7928.498
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,926.912,911.089,867.422,844.544,817.439,1001.099,1109.309,1130.958,1121.098,744.356,736.188,695.467,740.49,892.914,1069.211,1238.777,1405.367,1593.784,1787.322,1653.184,1909.979,2111.545,2144.929,2209.116,2265.578,1971.214,1764.983,1798.83,1887.096,1890.552,1719.929,1867.073,1940.345,1783.586,1597.513,1693.832,1791.263,1865.892,1937.695,2029.883,2129.516
Western Europe,10475.127,9322.438,8954.619,8693.439,8343.289,8642.744,11762.45,14525.097,16176.604,16384.584,20209.738,21371.196,23135.709,20936.711,22155.216,25352.613,25769.247,24178.078,24877.789,24865.961,23044.57,23116.367,25053.736,30249.604,34614.765,35850.478,37935.384,43258.315,46228.677,41325.521,41033.677,44358.831,41772.979,43377.284,44635.368,39132.001,39093.44,40769.916,43714.828,42685.394,41451.162,47127.291,45923.777,49046.977,50950.574,54743.97,58128.888,59995.822,61973.477,64053.401,66212.815
