"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"China, People's Republic of",307.533,289.007,280.5,297.077,301.687,293.534,280.42,300.37,368.709,407.249,347.545,359.122,422.899,524.75,472.505,609.022,709.843,782.914,829.995,875.403,962.844,1058.845,1157.325,1300.767,1522.4,1778.515,2128.055,2733.851,3503.948,3878.741,4578.228,5651.562,6388.178,7155.028,7774.592,8174.332,8222.25,8930.226,10040.46,10334.456,10695.519,12877.533,12968.171,12960.729,13313.942,13806.031,14730.309,15740.598,16808.636,17861.762,18984.663
Colombia,1682.427,1792.984,1878.86,1827.905,1767.893,1623.658,1592.848,1624.054,1714.91,1694.091,1691.106,1712.347,1986.543,2209.203,2726.817,3035.313,3137.068,3399.33,3090.903,2673.665,2535.477,2461.328,2424.349,2313.535,2827.173,3493.976,3836.672,4834.416,5622.109,5330.795,6498.585,7518.304,8237.293,8409.688,8312.056,6337.03,6037.14,6577.28,6923.64,6540.135,5363.241,6231.24,6687.587,7015.002,7947.824,8249.219,8644.307,8961.047,9319.187,9711.723,10103.622
Comoros,722.292,616.729,571.463,541.823,517.146,510.964,668.645,789.369,824.423,783.311,931.447,905.748,963.711,923.237,664.841,811.987,793.967,718.393,705.347,707.442,632.79,680.521,763.902,958.891,1070.966,1106.386,1138.719,1289.946,1454.493,1407.577,1385.195,1526.567,1484.891,1596.013,1609.102,1323.072,1356.892,1414.088,1518.8,1501.981,1510.592,1549.471,1438.569,1526.63,1620.431,1773.102,1904.282,1981.011,2062.083,2139.216,2226.897
"Congo, Dem. Rep. of the",2730.694,2301.277,2422.242,1891.283,1221.72,1080.898,1174.016,1075.998,1206.847,1188.851,1192.38,1120.914,973.197,1222.443,639.608,601.803,750.736,642.729,461.123,410.453,397.025,146.542,171.076,171.505,189.173,226.776,265.901,310.819,366.699,291.745,338.802,387.825,427.848,481.137,512.244,519.68,477.259,478.789,564.342,578.891,571.751,615.655,683.479,674.615,721.901,772.032,801.002,826.215,856.149,891.325,921.097
"Congo, Republic of ",1268.332,1008.636,853.044,752.384,671.076,667.569,885.759,1043.902,1077.321,1071.039,1219.584,1237.554,1301.275,1157.837,774.866,896.009,1008.344,893.112,762.522,877.222,1156.361,933.558,999.604,1128.049,1439.638,1811.59,2116.981,2220.174,2848.341,2281.47,2965.182,3414.461,3756.238,3719.705,3623.464,2348.056,2106.937,2226.946,2716.492,2509.047,2014.193,2293.987,2339.437,2308.52,2341.632,2419.764,2542.373,2621.783,2717.938,2817.126,2910.653
Costa Rica,2108.75,1111.35,1071.935,1257.355,1421.164,1478.366,1611.323,1612.564,1598.038,1763.481,1880.75,2305.412,2684.089,2926.912,3110.154,3336.709,3277.614,3450.907,3653.154,3715.408,3941.14,4041.943,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12428.924,12691.127,12163.927,12539.282,13239.876,16390.222,17908.546,19104.053,20134.229,21181.925,22292.241,23426.361,24615.24
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,120.042,1591.119,3684.259,4639.057,4918.625,4834.056,5325.804,5180.756,5054.8,5364.441,6215.467,8189.464,9714.208,10448.914,11503.712,13759.504,15886.172,14461.183,13744.345,14690.167,13492.197,14063.402,14190.35,12286.053,12817.079,13899.034,15465.998,15566.354,14797.883,17802.327,18480.292,21872.864,24024.792,26957.85,29367.594,30750.454,32189.545,33710.13,35302.949
Cyprus,4549.59,4352.502,4452.666,4399.223,4575.652,4824.674,6057.903,7188.216,8204.3,8635.765,10359.998,10413.726,12158.597,11342.407,12525.318,15396.919,15260.553,14323.919,15181.635,15379.994,14464.952,14905.024,16188.531,20389.337,23969.818,25527.08,27448.397,31774.426,36009.56,32650.09,31522.055,32910.781,29075.418,27768.31,27012.831,23129.706,24359.103,26369.719,29325.824,29431.591,28295.9,33920.056,34221.169,36605.306,38802.204,42412.816,45600.51,47453.227,49706.93,52057.53,54508.734
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5861.187,6569.378,6065.51,6521.063,6374.041,6048.872,6659.088,8096.686,9857.191,11784.605,13458.775,15281.951,18513.803,22895.716,19863.767,20184.18,22068.782,20024.209,20256.925,20063.059,17944.844,18731.83,20882.415,23661.699,24013.061,23464.296,27667.664,27876.28,31800.883,31735.177,35161.476,38372.72,39995.667,41699.798,43420.884,45229.866
Côte d'Ivoire,1764.741,1429.982,1235.211,1060.684,1028.742,1010.216,1301.055,1377.855,1379.623,1268.839,1348.805,1260.371,1288.913,1161.76,848.957,1091.591,1171.414,1092.136,1134.494,1082.768,913.448,925.966,996.887,1198.538,1259.645,1262.108,1279.071,1421.758,1650.425,1607.992,1597.512,1602.649,1623.908,1843.024,2026.153,1846.22,1896.474,2000.09,2167.041,2173.778,2209.109,2478.224,2351.187,2560.951,2723.207,3015.643,3293.515,3469.289,3660.903,3880.563,4109.816
